CodeInsee,CodeDepartement,Commune,Votants,arthaud,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN
1001,1,L'Abergement-Clémenciat,537,3,6,150,18,149,43,66,5,30,26,3,21
1002,1,L'Abergement-de-Varey,175,2,7,50,10,23,14,41,3,10,8,3,0
1004,1,Ambérieu-en-Bugey,6687,38,173,1453,177,1646,530,1604,112,287,309,43,181
1005,1,Ambérieux-en-Dombes,1048,8,19,279,24,352,77,137,14,41,48,2,27
1006,1,Ambléon,80,0,6,21,2,16,3,15,2,2,9,0,1
1007,1,Ambronay,1693,10,46,403,60,499,141,276,31,69,77,8,39
1008,1,Ambutrix,474,2,8,109,17,152,31,71,5,22,26,6,14
1009,1,Andert-et-Condon,231,1,6,63,6,46,17,54,2,9,17,3,4
1010,1,Anglefort,624,5,9,125,38,225,39,88,8,15,19,5,32
1011,1,Apremont,243,0,4,45,19,65,27,36,1,17,14,2,6
1012,1,Aranc,221,4,6,51,9,54,13,59,2,10,5,3,4
1013,1,Arandas,96,1,2,17,5,37,5,11,0,4,7,0,5
1014,1,Arbent,1601,7,22,371,61,344,156,415,21,50,62,8,46
1015,1,Arboys en Bugey,471,0,7,133,20,112,22,83,9,31,25,7,12
1016,1,Arbigny,267,1,6,61,10,89,12,34,10,10,17,0,13
1017,1,Argis,262,1,6,34,9,89,21,63,4,12,5,1,10
1019,1,Armix,32,0,4,4,2,9,3,4,1,5,0,0,0
1021,1,Ars-sur-Formans,903,2,10,233,21,242,113,116,11,43,53,2,33
1022,1,Artemare,683,7,6,140,35,208,78,111,7,16,32,4,30
1023,1,Asnières-sur-Saône,53,0,0,6,0,22,9,8,0,3,2,0,3
1024,1,Attignat,1980,7,33,541,52,572,146,302,26,85,116,9,41
1025,1,Bâgé-Dommartin,2418,11,46,673,90,710,131,328,49,79,124,16,89
1026,1,Bâgé-le-Châtel,486,2,6,164,19,130,37,58,4,21,20,1,8
1027,1,Balan,1058,7,15,290,31,339,87,139,11,39,54,5,15
1028,1,Baneins,354,3,2,71,15,116,39,39,9,13,24,4,13
1029,1,Beaupont,370,1,8,74,22,118,41,37,7,16,21,1,15
1030,1,Beauregard,433,2,4,102,11,124,37,78,6,23,30,2,8
1031,1,Bellignat,1317,7,32,308,54,341,116,294,12,38,72,5,13
1032,1,Béligneux,1576,11,23,377,37,482,143,296,20,51,66,15,37
1033,1,Valserhône,6597,42,107,1375,217,1528,507,1764,115,293,255,51,195
1034,1,Belley,4341,28,85,1063,120,1014,365,965,72,164,231,37,97
1035,1,Belleydoux,223,1,8,42,16,46,14,47,4,11,16,0,11
1036,1,Valromey-sur-Seran,891,7,23,220,38,192,54,179,21,40,48,8,41
1037,1,Bénonces,186,2,4,32,10,49,15,24,3,9,23,5,3
1038,1,Bény,502,2,7,144,17,131,33,75,16,14,38,2,19
1039,1,Béon,267,1,9,67,11,77,16,47,3,12,14,3,5
1040,1,Béréziat,292,0,6,73,17,93,25,38,7,10,13,0,4
1041,1,Bettant,451,3,14,100,20,118,27,97,7,16,16,2,9
1042,1,Bey,214,1,3,63,9,46,11,33,3,18,10,2,5
1043,1,Beynost,2943,11,51,985,63,619,225,500,53,172,158,11,43
1044,1,Billiat,332,3,13,60,15,101,26,54,5,16,9,7,14
1045,1,Birieux,171,0,0,45,8,72,15,11,1,8,3,1,7
1046,1,Biziat,526,1,5,140,15,179,44,58,9,23,21,1,15
1047,1,Blyes,725,4,13,169,24,227,69,90,7,35,32,6,22
1049,1,La Boisse,1866,4,37,520,46,424,187,336,29,85,84,10,41
1050,1,Boissey,209,1,3,55,3,82,9,27,1,6,12,2,4
1051,1,Bolozon,65,2,4,9,3,16,6,15,2,2,3,2,1
1052,1,Bouligneux,229,0,2,63,10,62,35,21,3,7,19,0,3
1053,1,Bourg-en-Bresse,16316,82,332,4472,374,2800,1225,4098,457,899,862,88,303
1054,1,Bourg-Saint-Christophe,923,4,20,244,30,252,87,135,23,37,41,5,26
1056,1,Boyeux-Saint-Jérôme,262,2,4,57,12,74,25,49,1,6,17,0,12
1057,1,Boz,318,0,8,66,15,120,8,57,5,8,10,5,8
1058,1,Brégnier-Cordon,493,6,10,121,11,140,22,95,11,27,16,6,14
1060,1,Brénod,363,2,5,101,33,81,21,60,3,14,21,2,8
1061,1,Brens,777,1,7,191,22,211,66,132,9,42,37,7,34
1062,1,Bressolles,606,4,5,194,37,110,52,73,8,38,42,5,18
1063,1,Brion,340,1,6,99,8,90,28,43,10,14,28,1,3
1064,1,Briord,607,6,6,93,19,241,61,90,12,25,13,5,22
1065,1,Buellas,1179,5,23,355,43,298,96,152,19,68,66,6,30
1066,1,La Burbanche,72,0,2,13,3,10,13,21,2,1,4,0,2
1067,1,Ceignes,163,1,4,41,7,49,14,20,2,8,5,0,8
1068,1,Cerdon,431,0,8,58,28,150,53,62,2,11,26,7,16
